id,site_name,postcode,show_on_map,in_service
1022,Portway Park and Ride,BS11 9QE,1,1
1786,Trenchard Street,BS1 5AN,1,1
2824,City Hall,BS1 5TR,1,1
1796,West End Car Park,BS8 1JX,1,1
1362,Childrens Scrapstore,BS2 9LB,1,1
1797,West End Car Park,BS8 1JX,1,1
1795,West End Car Park,BS8 1JX,1,1
2580,Avon & Somerset Police HQ,BS20 8JJ,1,1
1788,College Street,BS1 5UU,1,1
1675,Knowle West Media Centre,BS4 1NL,1,1
4452,Carlton Street Car Park,BS23 1UA,1,1
4453,Carlton Street Car Park,BS23 1UA,1,1
1787,Trenchard Street,BS1 5AN,1,1
1802,Sirona Care and Health,BA2 5RP,1,1
2064,Temple Gate,BS1 6PL,1,1
1019,West End Car Park,BS8 1JX,1,1
1023,"The Grove, Bristol",BS1 4RB,1,1
5811,Temple Gate,BS1 6PL,1,1
1792,Temple Gate,BS1 6PL,1,1
1793,West End Car Park,BS8 1JX,1,1
2355,Aztec West,BS32 4TD,1,1
5818,West End Car Park,BS8 1JX,1,1
2825,City Hall,BS1 5TR,1,1
3435,Create Centre,BS1 6XN,1,1
1770,Millennium Square Car Park,BS1 5LL,1,1
4548,Lansdown Park & Ride,BA1 9BJ,1,1
2581,Avon & Somerset Police HQ,BS20 8JJ,1,1
4068,College Street,BS1 5UU,1,1
2582,Avon & Somerset Police HQ,BS20 8JJ,1,1
2579,Avon & Somerset Police HQ,BS20 8JJ,1,1
3436,Create Centre,BS1 6XN,1,1
2826,City Hall,BS1 5TR,1,1
5812,Temple Gate,BS1 6PL,1,1
4073,Long Ashton Park and Ride,BS3 2HB,1,1
4074,Long Ashton Park and Ride,BS3 2HB,1,1
305,Bristol and Bath Science Park,BS16 7FR,1,1
1021,Portway Park and Ride,BS11 9QE,1,1
4069,Trenchard Street,BS1 5AN,1,1
2822,City Hall,BS1 5TR,1,1
1314,Create Centre,BS1 6XN,1,1
1811,Portway Park and Ride,BS11 9QE,1,1
2827,City Hall,BS1 5TR,1,1
5816,College Street,BS1 5UU,1,1
4070,Trenchard Street,BS1 5AN,1,1
1020,AXA PPP,BS6 6SH,1,1
2823,City Hall,BS1 5TR,1,1
2578,Avon & Somerset Police HQ,BS20 8JJ,1,1
5821,West End Car Park,BS8 1JX,1,1
5815,College Street,BS1 5UU,1,1
1014,Trenchard Street,BS1 5AN,1,1
5822,West End Car Park,BS8 1JX,1,1
5817,West End Car Park,BS8 1JX,1,1
1029,Bristol Zoo Gardens,BS8 3HA,1,1
6364,"Brunswick Square, York St",BS2 8PE,1,1
1812,Cribbs Causeway Retail Park,BS34 5TX,1,1
2356,The Wharf House,GL2 8DB,1,1
1030,Bristol Zoo Gardens,BS8 3HA,1,1
1027,Bristol Zoo Gardens,BS8 3HA,1,1
4638,HEFCE - Westward House,BS34 8SR,1,1
4639,HEFCE - Westward House,BS34 8SR,1,1
2231,Southmead Hospital Bristol,BS10 5NB,1,1
6438,Southmead Hospital Bristol,BS10 5NB,1,1
6268,Southmead Hospital Bristol,BS10 5NB,1,1
6271,Southmead Hospital Bristol,BS10 5NB,1,1
2818,Bristol Airport,BS48 3DY,1,1
6270,Southmead Hospital Bristol,BS10 5NB,1,1
3653,City of Bristol College - South Bristol Skills Academy,BS14 0DB,1,1
6272,Southmead Hospital Bristol,BS10 5NB,1,1
2817,Bristol Airport,BS48 3DY,1,1
3650,City of Bristol College - College Green Centre,BS1 5UA,1,1
3651,City of Bristol College - College Green Centre,BS1 5UA,1,1
3652,City of Bristol College - South Bristol Skills Academy,BS14 0DB,1,1
6368,"Stuart Street, Bristol",BS5 9QN,1,1
6269,Southmead Hospital Bristol,BS10 5NB,1,1
2488,Tobacco Factory,BS3 1TF,1,1
1410,Leigh Court Business Centre,BS8 3RA,1,1
2344,Bradley Stoke Leisure Centre,BS32 9BS,1,1
3666,Regent Arcade,GL50 1JZ,1,1
3648,City of Bristol College - Ashley Down Centre,BS7 9BU,1,1
3649,City of Bristol College - Ashley Down Centre,BS7 9BU,1,1
4519,"Counterslip, Finzels Reach",BS1 6BX,1,1
