Date,All Cars,ULEV
31-10-2011,206427,31
30-11-2011,207544,31
31-12-2011,208700,31
31-01-2012,209690,31
29-02-2012,210618,33
31-03-2012,211609,36
30-04-2012,212568,39
31-05-2012,213559,43
30-06-2012,214518,48
31-07-2012,215509,53
31-08-2012,216500,57
30-09-2012,217459,60
31-10-2012,218450,65
30-11-2012,219409,67
31-12-2012,220400,70
31-01-2013,221376,73
28-02-2013,222258,76
31-03-2013,223235,80
30-04-2013,224180,84
31-05-2013,225157,88
30-06-2013,226102,93
31-07-2013,227079,98
31-08-2013,228056,100
30-09-2013,229001,103
31-10-2013,229978,106
30-11-2013,230923,116
31-12-2013,231900,127
31-01-2014,232961,138
28-02-2014,233920,142
31-03-2014,234982,147
30-04-2014,236009,153
31-05-2014,237071,163
30-06-2014,238098,173
31-07-2014,239160,184
31-08-2014,240221,198
30-09-2014,241249,213
31-10-2014,242310,228
30-11-2014,243338,243
31-12-2014,244400,259
31-01-2015,245359,275
28-02-2015,246226,282
31-03-2015,247186,290
30-04-2015,248115,299
31-05-2015,249074,312
30-06-2015,250003,325
31-07-2015,250963,339
31-08-2015,251923,349
30-09-2015,252851,358
31-10-2015,253811,369
30-11-2015,254740,393
31-12-2015,255700,419
31-01-2016,256521,445
29-02-2016,257290,469
31-03-2016,258111,495
30-04-2016,258906,520
31-05-2016,259728,546
30-06-2016,260523,571
31-07-2016,261345,598
31-08-2016,262166,634
30-09-2016,262961,670
31-10-2016,263783,707
30-11-2016,264578,747
31-12-2016,265400,789
31-01-2017,258274,832
28-02-2017,251838,853
31-03-2017,244712,877
30-04-2017,237816,901
31-05-2017,230690,798
30-06-2017,223794,700
31-07-2017,216669,598
31-08-2017,209543,565
30-09-2017,202647,533
31-10-2017,195521,501
30-11-2017,188625,530
31-12-2017,181500,560
31-01-2018,181567,590
28-02-2018,181629,611
31-03-2018,181697,635
30-04-2018,181763,658
31-05-2018,181830,672
30-06-2018,181896,685
31-07-2018,181964,700
31-08-2018,182032,718
30-09-2018,182098,737
31-10-2018,182166,756
30-11-2018,182232,774
31-12-2018,182300,793
31-01-2019,182376,813
28-02-2019,182445,835
31-03-2019,182521,860
30-04-2019,182595,884
31-05-2019,182672,928
30-06-2019,182746,970
31-07-2019,182822,1015
31-08-2019,182899,1064
30-09-2019,182973,1113
31-10-2019,183049,1163
30-11-2019,183123,1217
31-12-2019,183200,1273
31-01-2020,183115,1330
29-02-2020,183036,1359
31-03-2020,182951,1390
30-04-2020,182869,1420
31-05-2020,182784,1494
30-06-2020,182702,1566
31-07-2020,182618,1641
31-08-2020,182533,1719
30-09-2020,182451,1795
31-10-2020,182366,1874
30-11-2020,182284,1919
31-12-2020,182200,1966
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
