Month,electric vehicle: (England)
2011-04,18
2011-05,21
2011-06,19
2011-07,17
2011-08,19
2011-09,16
2011-10,15
2011-11,16
2011-12,16
2012-01,26
2012-02,20
2012-03,20
2012-04,21
2012-05,20
2012-06,17
2012-07,16
2012-08,17
2012-09,16
2012-10,19
2012-11,20
2012-12,15
2013-01,20
2013-02,21
2013-03,15
2013-04,19
2013-05,18
2013-06,16
2013-07,15
2013-08,18
2013-09,16
2013-10,18
2013-11,19
2013-12,19
2014-01,22
2014-02,24
2014-03,18
2014-04,26
2014-05,19
2014-06,20
2014-07,25
2014-08,24
2014-09,22
2014-10,22
2014-11,26
2014-12,20
2015-01,18
2015-02,21
2015-03,23
2015-04,25
2015-05,19
2015-06,22
2015-07,22
2015-08,25
2015-09,24
2015-10,25
2015-11,19
2015-12,21
2016-01,24
2016-02,25
2016-03,21
2016-04,27
2016-05,25
2016-06,30
2016-07,21
2016-08,26
2016-09,25
2016-10,28
2016-11,31
2016-12,24
2017-01,33
2017-02,31
2017-03,35
2017-04,29
2017-05,36
2017-06,29
2017-07,48
2017-08,39
2017-09,54
2017-10,48
2017-11,49
2017-12,32
2018-01,42
2018-02,47
2018-03,42
2018-04,43
2018-05,47
2018-06,44
2018-07,43
2018-08,49
2018-09,51
2018-10,49
2018-11,57
2018-12,42
2019-01,56
2019-02,56
2019-03,63
2019-04,58
2019-05,55
2019-06,66
2019-07,77
2019-08,65
2019-09,71
2019-10,71
2019-11,73
2019-12,70
2020-01,89
2020-02,100
2020-03,71
2020-04,36
