,Date,All Cars,ULEV
0,2011-10-31,268565,19
1,2011-11-30,268412,19
2,2011-12-31,268254,20
3,2012-01-31,268096,22
4,2012-02-29,265633,23
5,2012-03-31,263000,24
6,2012-04-30,260453,26
7,2012-05-31,259740,32
8,2012-06-30,259050,38
9,2012-07-31,258337,45
10,2012-08-31,265852,49
11,2012-09-30,273125,53
12,2012-10-31,280641,58
13,2012-11-30,280517,60
14,2012-12-31,280389,63
15,2013-01-31,280262,67
16,2013-02-28,279424,72
17,2013-03-31,278497,77
18,2013-04-30,277600,83
19,2013-05-31,276086,88
20,2013-06-30,274620,93
21,2013-07-31,273107,99
22,2013-08-31,280206,102
23,2013-09-30,287076,104
24,2013-10-31,294175,108
25,2013-11-30,293663,120
26,2013-12-31,293134,133
27,2014-01-31,292606,146
28,2014-02-28,291503,151
29,2014-03-31,290283,157
30,2014-04-30,289103,164
31,2014-05-31,287711,173
32,2014-06-30,286364,182
33,2014-07-31,284973,192
34,2014-08-31,292206,213
35,2014-09-30,299205,233
36,2014-10-31,306439,255
37,2014-11-30,306440,274
38,2014-12-31,306442,294
39,2015-01-31,306444,315
40,2015-02-28,305540,324
41,2015-03-31,304539,334
42,2015-04-30,303571,344
43,2015-05-31,302436,364
44,2015-06-30,301338,384
45,2015-07-31,300204,405
46,2015-08-31,305777,418
47,2015-09-30,311172,432
48,2015-10-31,316746,446
49,2015-11-30,315850,482
50,2015-12-31,314924,520
51,2016-01-31,313999,559
52,2016-02-29,313452,591
53,2016-03-31,312867,625
54,2016-04-30,312302,659
55,2016-05-31,312438,696
56,2016-06-30,312569,733
57,2016-07-31,312706,771
58,2016-08-31,315244,809
59,2016-09-30,317702,845
60,2016-10-31,320241,884
61,2016-11-30,320660,931
62,2016-12-31,321093,981
63,2017-01-31,321527,1031
64,2017-02-28,321481,1067
65,2017-03-31,321430,1108
66,2017-04-30,321381,1148
67,2017-05-31,321801,1226
68,2017-06-30,322209,1303
69,2017-07-31,322630,1382
70,2017-08-31,323735,1455
71,2017-09-30,324804,1527
72,2017-10-31,325910,1601
73,2017-11-30,325643,1714
74,2017-12-31,325368,1831
75,2018-01-31,325093,1948
76,2018-02-28,324109,2102
77,2018-03-31,323020,2274
78,2018-04-30,321966,2440
79,2018-05-31,321999,2512
80,2018-06-30,322032,2582
81,2018-07-31,322066,2655
82,2018-08-31,326532,2709
83,2018-09-30,330855,2761
84,2018-10-31,335322,2816
85,2018-11-30,335128,2860
86,2018-12-31,334928,2905
87,2019-01-31,334728,2951
88,2019-02-28,333825,3009
89,2019-03-31,332825,3073
90,2019-04-30,331858,3136
91,2019-05-31,331104,3216
92,2019-06-30,330374,3293
93,2019-07-31,329621,3374
94,2019-08-31,329375,3495
95,2019-09-30,329136,3613
96,2019-10-31,328891,3735
97,2019-11-30,331544,3935
98,2019-12-31,334286,4143
99,2020-01-31,337029,4351
100,2020-02-29,334862,4434
101,2020-03-31,332546,4524
102,2020-04-30,330305,4611
103,2020-05-31,330381,5052
104,2020-06-30,330454,5480
105,2020-07-31,330531,5922
106,2020-08-31,329978,6841
107,2020-09-30,329443,7730
108,2020-10-31,328891,8650
109,2020-11-30,328678,9837
110,2020-12-31,328458,11064
111,2021-01-31,328239,12292
112,2021-02-28,328484,13360
113,2021-03-31,328756,14543
114,2021-04-30,329019,15689
115,2021-05-31,328403,16749
116,2021-06-30,327807,17774
117,2021-07-31,327192,18835
